District,rural/urban,Male,Female,Total,Households,Area_in_Sq_Km,_Household_Density_,Population_Density,Gender_Index,County,Location,Location_1,Province,OBJECTID
RACHUONYO,Rural,154325,167978,322303,67930,860.23,78.970000,168157.399700,1.088469,NYANZA,"RACHUONYO, NYANZA Kenya
",,34.70386182,81
MIGORI,Rural,121181,132228,253409,51951,1092.16,47.570000,132338.955400,1.091161,NYANZA,"MIGORI, NYANZA Kenya
",,34.30280979,82
RONGO,Rural,65240,68914,134154,26880,429.94,62.520000,69065.742100,1.056315,NYANZA,"RONGO, NYANZA Kenya
",,34.51455638,83
KURIA WEST,Rural,66766,69496,136262,21501,365.93,58.760000,69678.455660,1.040889,NYANZA,"KURIA WEST, NYANZA Kenya
",,34.51983447,84
KURIA EAST,Rural,40248,41585,81833,13513,188.03,71.870000,41799.050950,1.033219,NYANZA,"KURIA EAST, NYANZA Kenya
",,34.65699509,85
KISII CENTRAL,Rural,133883,149234,283117,60739,335.51,181.030000,149633.043200,1.114660,NYANZA,"KISII CENTRAL, NYANZA Kenya
",,34.79181187,86
KISII SOUTH,Rural,25973,28996,54969,11355,78.43,144.780000,29327.161550,1.116390,NYANZA,"KISII SOUTH, NYANZA Kenya
",,34.6895693,87
MASABA,Rural,67399,75588,142987,31121,193.37,160.940000,75936.549410,1.121500,NYANZA,"MASABA, NYANZA Kenya
",,34.88253143,88
GUCHA,Rural,173472,190988,364460,75379,444.13,169.720000,191378.588300,1.100973,NYANZA,"GUCHA, NYANZA Kenya
",,34.77186075,89
GUCHA SOUTH,Rural,70458,75849,146307,29032,192.6,150.740000,76214.825550,1.076514,NYANZA,"GUCHA SOUTH, NYANZA Kenya
",,34.65567846,90
NYAMIRA,Rural,125744,137457,263201,56063,337.9,165.920000,137829.133800,1.093150,NYANZA,"NYAMIRA, NYANZA Kenya
",,34.96346861,91
MANGA,Rural,41678,46181,87859,19295,111.32,173.330000,46555.398130,1.108043,NYANZA,"MANGA, NYANZA Kenya
",,34.90211779,92
BORABU,Rural,34151,33461,67612,15615,246.55,63.330000,33599.515510,0.979796,NYANZA,"BORABU, NYANZA Kenya
",,35.02803793,93
TURKANA CENTRAL,Rural,101846,102536,204382,31217,13990.49,2.230000,102543.279700,1.006775,RIFT VALLEY,"TURKANA CENTRAL, RIFT VALLEY Kenya
",,35.44299468,94
TURKANA NORTH,Rural,159941,142978,302919,40422,35091.54,1.150000,142982.557800,0.893942,RIFT VALLEY,"TURKANA NORTH, RIFT VALLEY Kenya
",,35.09717514,95
TURKANA SOUTH,Rural,121022,105357,226379,28437,18670.82,1.520000,105363.481900,0.870561,RIFT VALLEY,"TURKANA SOUTH, RIFT VALLEY Kenya
",,35.99979492,96
WEST POKOT,Rural,68488,69879,138367,26209,2189.2,11.970000,69910.284490,1.020310,RIFT VALLEY,"WEST POKOT, RIFT VALLEY Kenya
",,35.16354392,97
POKOT NORTH,Rural,77959,78052,156011,25966,3953.21,6.570000,78071.720430,1.001193,RIFT VALLEY,"POKOT NORTH, RIFT VALLEY Kenya
",,35.10600361,98
POKOT CENTRAL,Rural,87199,88417,175616,32548,2898.74,11.230000,88447.081690,1.013968,RIFT VALLEY,"POKOT CENTRAL, RIFT VALLEY Kenya
",,35.49402215,99
SAMBURU CENTRAL,Rural,42524,44378,86902,18300,3924.43,4.660000,44388.835710,1.043599,RIFT VALLEY,"SAMBURU CENTRAL, RIFT VALLEY Kenya
",,36.71442163,100
SAMBURU EAST,Rural,22641,23931,46572,9976,9783.15,1.020000,23933.314290,1.056976,RIFT VALLEY,"SAMBURU EAST, RIFT VALLEY Kenya
",,37.47389892,101
SAMBURU NORTH,Rural,27646,24163,51809,10051,7017.61,1.430000,24166.939520,0.874014,RIFT VALLEY,"SAMBURU NORTH, RIFT VALLEY Kenya
",,36.83086912,102
