,address,cars,bluecar_counter,utilib_counter,utilib_1.4_counter,charge_slots,charging_status,city,id,kind,geo_point,postal_code,public_name,rental_status,slots,station_type,year,month,day,hour,minute
3189,7 boulevard d'algã©rie,1,1,0,0,0,nonexistent,paris,paris-algerie-7,station,"48.8799263, 2.4004487",75019,paris/algã©rie/7,operational,3,station,2018,4,1,20,13
3190,44 avenue george v,2,2,0,0,0,operational,paris,paris-georgev-44,station,"48.87057, 2.301121",75008,paris/george v/44,operational,1,station,2018,4,5,21,50
3191,19 rue polonceau,1,1,1,0,0,nonexistent,paris,paris-polonceau-19,station,"48.8856198, 2.3531328",75018,paris/polonceau/19,operational,2,station,2018,4,4,11,50
3192,33 rue de lourmel,5,5,0,1,0,nonexistent,paris,paris-lourmel-33,station,"48.8482831, 2.2905269",75015,paris/lourmel/33,operational,0,station,2018,4,3,17,6
3193,14 rue jouffroy d'abbans,0,0,1,0,1,operational,paris,paris-jouffroydabbans-14,station,"48.88676, 2.311893",75017,paris/jouffroy d'abbans/14,operational,3,station,2018,4,4,21,11
3194,2 rue du buisson saint louis,3,3,0,0,0,operational,paris,paris-buissonsaintlouis-2,station,"48.87179, 2.372482",75010,paris/buisson saint louis/2,operational,0,station,2018,4,7,23,32
3195,5 rue des archives,3,3,0,0,0,nonexistent,crã©teil,creteil-archives-5,station,"48.78363, 2.456881",94000,crã©teil/archives/5,operational,3,station,2018,4,3,12,50
3196,59 boulevard voltaire,0,0,0,0,0,broken,paris,paris-voltaire-59,station,"48.8619069, 2.3735705",75011,paris/voltaire/59,broken,0,station,2018,4,7,7,0
3197,55 avenue de sã©gur,0,0,0,0,2,operational,paris,paris-segur-55,station,"48.8492973, 2.3077697",75007,paris/sã©gur/55,operational,5,station,2018,4,6,0,51
3198,49 avenue de l'arche,2,2,0,0,0,nonexistent,courbevoie,courbevoie-arche-49,station,"48.897827, 2.23817",92400,courbevoie/arche/49,operational,0,station,2018,4,3,22,57
3199,1 rue jean monnet,4,4,0,1,0,nonexistent,nogent-sur-marne,nogentsurmarne-jeanmonnet-1,space,"48.8383861, 2.4934423",94130,nogent-sur-marne/jean monnet/1,operational,1,full_station,2018,4,3,4,50
